tofix,replacewith
Alabama-Birmingham,UAB
Albany (NY),Albany
American University,American
Arkansas Little Rock,Little Rock
Arkansas-Pine Bluff,Arkansas Pine Bluff
Bethune-Cookman,Bethune Cookman
Bowling Green St.,Bowling Green
Brigham Young,BYU
Cal St. Long Beach,Long Beach St.
California Baptist,Cal Baptist
Centenary,out
Centenary (LA),out
Centenary Louisiana,out
Central Connecticut St.,Central Connecticut
Central Florida,UCF
College of Charleston,Charleston
CSU Bakersfield,Cal St. Bakersfield
CSU Fullerton,Cal St. Fullerton
CSU Northridge,Cal St. Northridge
Detroit,Detroit Mercy
Dixie St.,out
Florida International,FIU
Fort Wayne,Purdue Fort Wayne
Gardner-Webb,Gardner Webb
Grambling,Grambling St.
Hawai'i,Hawaii
Houston Baptist,out
Illinois-Chicago,Illinois Chicago
IPFW,Purdue Fort Wayne
Kansas City,UMKC
LIU Brooklyn,LIU
Long Island University,LIU
Louisiana Lafayette,out
Louisiana St.,LSU
Louisiana-Monroe,Louisiana Monroe
Loyola (IL),Loyola Chicago
Loyola (MD),Loyola MD
Maryland-Baltimore County,UMBC
Maryland-Eastern Shore,Maryland Eastern Shore
Massachusetts-Lowell,UMass Lowell
McNeese,McNeese St.
Miami,Miami FL
Miami (FL),Miami FL
Miami (OH),Miami OH
N.C. State,North Carolina St.
NC St.,North Carolina St.
Nevada-Las Vegas,UNLV
Nicholls,Nicholls St.
North Carolina St.,North Carolina St.
North Carolina-Asheville,UNC Asheville
North Carolina-Greensboro,UNC Greensboro
North Carolina-Wilmington,UNC Wilmington
Ole Miss,Mississippi
Omaha,Nebraska Omaha
Pennsylvania,Penn
Prairie View,Prairie View A&M
Purdue-Fort Wayne,Purdue Fort Wayne
Saint Francis (PA),St. Francis PA
Saint Mary's (CA),Saint Mary's
Sam Houston,Sam Houston St.
San José St.,San Jose St.
Savannah St.,out
Savannah St.,out
SE Louisiana,Southeastern Louisiana
Seattle U,Seattle
South Carolina Upstate,USC Upstate
Southern California,USC
Southern Methodist,SMU
Southern Mississippi,Southern Miss
St. Francis (BKN),St. Francis NY
St. Francis (NY),St. Francis NY
St. Francis (PA),St. Francis PA
St. John's (NY),St. John's
St. Thomas - Minnesota,St. Thomas
St. Thomas (MN),St. Thomas
Tarleton,Tarleton St.
Tennessee-Martin,Tennessee Martin
Texas A&M-CC,Texas A&M Corpus Chris
Texas A&M-Corpus Christi,Texas A&M Corpus Chris
Texas Christian,TCU
Texas Pan American,out
Texas-Arlington,UT Arlington
Texas-El Paso,UTEP
Texas-Rio Grande Valley,UT Rio Grande Valley
Texas-San Antonio,UTSA
UC-Davis,UC Davis
UC-Irvine,UC Irvine
UConn,Connecticut
UC-Riverside,UC Riverside
UC-San Diego,UC San Diego
UC-Santa Barbara,UC Santa Barbara
UIC,Illinois Chicago
UL Monroe,Louisiana Monroe
UMass,Massachusetts
University of California,California
UT Martin,Tennessee Martin
Utah Valley St.,Utah Valley
Virginia Commonwealth,VCU
Winston Salem,out
Winston Salem St.,out
St. Francis Brooklyn,St. Francis NY
Queens University,Queens
Texas A&M-Commerce,Texas A&M Commerce
Loyola Maryland,Loyola MD
Queens (NC),Queens
